Blokker legitimasjon,Poststed,Land/område,Avdeling,DirSyncEnabled,Visningsnavn,Faks,Fornavn,Tidspunkt for siste DirSync,Etternavn,Tidsangivelse for siste passordendring,Detaljer om lisenstildeling,Lisenser,Mobiltelefon,Metadata for OATH-token,Objekt-ID,Kontor,Passordet utløper aldri,Telefonnummer,Postnummer,Foretrukket dataplassering,Foretrukket språk,Proxyadresser,Spor for utgivelse,Tidsangivelse for myk sletting,Delstat,Gateadresse,Sterkt passord kreves,Tittel,Bruksplassering,Brukerhovednavn,Når det ble opprettet
False,Tulsa,United States,Engineering,,Lidia Holloway,,Lidia,,Holloway,2023-01-06 14:10:47Z,,Microsoft 365 E5 Developer (uten Windows og telefonkonferanser),,,a2c9181f-477c-4bbb-aaa9-c284890c0c14,20/2107,,'+1 918 555 0107,74133,,en-US,SMTP:LidiaH@randombedrift.onmicrosoft.com,,,OK,"7633 E. 63rd Place, Suite 300",,Product Manager,US,LidiaH@randombedrift.onmicrosoft.com,2023-01-06 14:10:47Z
False,,,,,Loftet,,,,,2023-02-09 20:00:29Z,,,,,31520a1f-57e2-4dd9-8a53-d513e5e97d0c,Tromsø,,,,,,SMTP:Loftet@randombedrift.onmicrosoft.com,,,,,,,,Loftet@randombedrift.onmicrosoft.com,2023-02-09 20:00:29Z
False,Tulsa,United States,Retail,,Lynne Robbins,,Lynne,,Robbins,2023-01-06 14:10:48Z,,Microsoft 365 E5 Developer (uten Windows og telefonkonferanser),,,dbf27308-d816-401d-952e-af237ed8cb83,20/1104,,'+1 918 555 0104,74133,,en-US,SMTP:LynneR@randombedrift.onmicrosoft.com,,,OK,"7633 E. 63rd Place, Suite 300",,Planner,US,LynneR@randombedrift.onmicrosoft.com,2023-01-06 14:10:48Z
False,,,,,Magda Nordmann,,,,,2023-02-10 08:42:49Z,,,,,8ab0887f-735c-4e24-8f29-db40ca88b5b1,,,,,,,SMTP:magda.nordmann@yahoo.no,,,,,,,,magda.nordmann@randombedrift.onmicrosoft.com,2023-02-10 08:42:49Z
False,,,,,Marius Fake Holtmoen,,Marius,,Holtmoen,2023-01-31 12:09:23Z,,,,,c2eabb2c-28ae-4c33-8cd4-56211e718573,,,,,,,SMTP:marius.holtmoen@gmail.com,,,,,,,,marius.holtmoen_gmail.com#EXT#@randombedrift.onmicrosoft.com,2023-01-31 12:09:23Z
False,,,,,Marius Holtmoen,,Marius,,Holtmoen,2023-01-06 13:57:15Z,,Microsoft 365 E5 Developer (uten Windows og telefonkonferanser),,,2d62c9c6-8d58-44c2-a9c0-3aeef769e3c1,,,45760355,,,nb-NO,SMTP:marius@randombedrift.onmicrosoft.com,,,,,,,NO,marius@randombedrift.onmicrosoft.com,2023-01-06 13:57:15Z
False,Pittsburgh,United States,Marketing,,Megan Bowen,,Megan,,Bowen,2023-01-06 14:10:51Z,,Microsoft 365 E5 Developer (uten Windows og telefonkonferanser),,,028910df-5c0a-4562-8498-bce7d7fde030,12/1110,,'+1 412 555 0109,15212,,en-US,SMTP:MeganB@randombedrift.onmicrosoft.com,,,PA,"30 Isabella St., Second Floor",,Marketing Manager,US,MeganB@randombedrift.onmicrosoft.com,2023-01-06 14:10:51Z
False,,,IT-Admins,,Melis Holtmoen,,,,,2023-02-08 20:40:51Z,,Microsoft 365 E5 Developer (uten Windows og telefonkonferanser),,,4ca4c608-a4de-4c49-b575-6dcdc6afc39a,,,,,,,SMTP:melis.holtmoen@randombedrift.onmicrosoft.com,,,Trondheim,,,,NO,melis.holtmoen@randombedrift.onmicrosoft.com,2023-01-31 13:07:10Z
False,San Diego,United States,Sales & Marketing,,Miriam Graham,,Miriam,,Graham,2023-01-06 14:10:25Z,,Microsoft 365 E5 Developer (uten Windows og telefonkonferanser),,,82686129-4bd7-46e1-8d7e-a62a9462f0d5,131/2103,,'+1 858 555 0109,92121,,en-US,SMTP:MiriamG@randombedrift.onmicrosoft.com,,,CA,"9255 Towne Center Dr., Suite 400",,Director,US,MiriamG@randombedrift.onmicrosoft.com,2023-01-06 14:10:25Z
False,,,IT,,Mons Monsen,,,,,2023-01-26 14:39:13Z,,,,,0d78c356-e44f-42fb-9f5c-e14d3c716851,,,,,,,,,,,,,,,Mons.Monsen@randombedrift.onmicrosoft.com,2023-01-26 14:39:13Z
False,Seattle,United States,Operations,,Nestor Wilke,,Nestor,,Wilke,2023-01-06 14:10:28Z,,Microsoft 365 E5 Developer (uten Windows og telefonkonferanser),,,464e87b8-88c2-434a-b6d6-cc14f5d8a60a,36/2121,,'+1 206 555 0105,98109,,en-US,SMTP:NestorW@randombedrift.onmicrosoft.com,,,WA,320 Westlake Ave N. Thomas St.,,Director,US,NestorW@randombedrift.onmicrosoft.com,2023-01-06 14:10:28Z
False,,,,,Ola Nordmann,,Ola,,Nordmann,2023-01-26 23:04:47Z,,,,,ec7a4680-9d11-42ae-890c-e6dacb9d3c4b,,,,,,,,,,,,,,,Ola.Nordmann@randombedrift.onmicrosoft.com,2023-01-26 23:04:47Z
False,Louisville,United States,Executive Management,,Patti Fernandez,,Patti,,Fernandez,2023-01-06 14:10:20Z,,Microsoft 365 E5 Developer (uten Windows og telefonkonferanser),,,9db136f9-aa3d-4b93-ae61-a3dd7071e01a,15/1102,,'+1 502 555 0144,40223,,en-US,SMTP:PattiF@randombedrift.onmicrosoft.com,,,KY,"9900 Corporate Campus Dr., Suite 3000",,President,US,PattiF@randombedrift.onmicrosoft.com,2023-01-06 14:10:20Z
False,Cairo,Egypt,Finance,,Pradeep Gupta,,Pradeep,,Gupta,2023-01-06 14:10:52Z,,Microsoft 365 E5 Developer (uten Windows og telefonkonferanser),,,0835ce23-0d62-4814-9bf6-7af864bd3f42,98/2202,,'+20 255501070,,,en-US,SMTP:PradeepG@randombedrift.onmicrosoft.com,,,,"Smart Village, Kilo 28, Cairo/Alex Desert Road",,Accountant,US,PradeepG@randombedrift.onmicrosoft.com,2023-01-06 14:10:52Z
False,,,,,Ragnar Rosenström,,,,,2023-02-10 08:42:50Z,,,,,d74e2013-4a78-485f-854a-99198c083f46,,,,,,,SMTP:raggarpojken@hotmail.com,,,,,,,,ragnar.rosenstrom@randombedrift.onmicrosoft.com,2023-02-10 08:42:50Z
False,,,,,Random Randomsen,,Random,,Randomsen,2023-01-26 21:27:24Z,,Microsoft 365 E5 Developer (uten Windows og telefonkonferanser),,,dd32904b-0925-4302-8df1-52a6700672ad,,False,,,,,SMTP:random.randomsen@randombedrift.onmicrosoft.com,,,,,True,,NO,random.randomsen@randombedrift.onmicrosoft.com,2023-01-26 21:27:24Z
False,,,,,Sauna,,,,,2023-02-09 19:57:58Z,,,,,018c0d27-50d4-4a9e-b740-ed36eff79a87,Trondheim,,,,,,SMTP:Sauna@randombedrift.onmicrosoft.com,,,,,,,,Sauna@randombedrift.onmicrosoft.com,2023-02-09 19:57:58Z
False,,,,,Test Testesen,,,,,2023-01-26 22:36:12Z,,,,,5fae4634-e961-4f28-b234-b70ef259e092,,,,,,,,,,,,,,,test.testesen@randombedrift.onmicrosoft.com,2023-01-26 22:36:12Z
False,,,,,Testbruker Testbrukersen,,Testbruker,,Testbrukersen,2023-02-08 19:15:07Z,,Microsoft 365 E5 Developer (uten Windows og telefonkonferanser),,,e3dc173e-9bba-42c9-a67d-f71c3294b76a,,False,,,,,SMTP:testbruker.testbrukersen@randombedrift.onmicrosoft.com,,,,,True,,NO,testbruker.testbrukersen@randombedrift.onmicrosoft.com,2023-02-08 19:15:07Z
False,,,HR,,Tine Kaland,,,,,2023-02-08 20:51:25Z,,Microsoft 365 E5 Developer (uten Windows og telefonkonferanser),,,9208a835-a75b-4a35-9b79-d22bab1b11f6,,,,,,,SMTP:tine.kaland@randombedrift.onmicrosoft.com,,,,,,,NO,tine.kaland@randombedrift.onmicrosoft.com,2023-01-31 13:07:10Z
